24869,24871
24869,24874
24869,24875
24882,24883
24983,24986
24993,24997
24993,24999
24993,25000
25493,25494
25591,25592
25591,22313
25591,14757
25841,25842
25980,25981
25984,18790
25984,25969
25984,25985
26037,2916
26037,26038
26215,26216
26215,26217
26215,25972
26215,25974
26218,26219
26218,23332
26218,25987
26218,11638
26322,26323
26488,26489
26538,3720
26734,26736
26734,25202
26905,26907
27119,27120
27119,26911
27123,27124
27166,27167
27179,26698
27179,25191
27630,19628
27676,27677
27702,25118
27853,12653
27853,26504
27853,27855
27853,27857
27875,27876
27997,27998
28505,25969
29184,29185
29184,9263
29379,29381
29389,29390
29569,28277
29622,3115
29622,29625
29622,25577
29622,20077
26050,29456
29658,29517
29658,29290
29668,29330
29073,29677
29073,29679
29073,27086
29073,29681
29073,29070
28868,28867
29877,25973
29877,29146
29880,26126
29880,29881
29880,26123
29920,25313
29920,25314
29920,11404
29920,25316
29983,29834
30072,30073
30072,30074
30116,29433
30192,28953
30192,30194
30195,27886
29040,20059
29040,3373
30277,28175
30277,28661
30293,30294
30304,30305
30304,30307
30340,25711
27838,27836
27838,27084
27838,27083
30428,30430
30431,28371
30552,30553
30589,27500
30589,8430
30646,30647
30646,26736
27685,25211
27685,27693
27685,27659
27685,25215
27685,27110
30662,30666
30662,30670
30833,30834
30833,26877
30873,30876
30880,30881
30880,26876
31052,31055
31062,31063
31078,31079
31113,26503
31113,24973
31113,30687
31143,26650
31143,29411
31148,31149
31158,27159
31158,24883
31158,25094
31158,27638
31158,27877
31158,24922
31158,31162
31158,26861
31158,5856
31158,26862
31158,31163
31158,25067
31175,25059
31186,31190
31186,27795
31205,26503
31205,26601
31205,27159
31205,24894
31205,31209
31205,24918
31205,31210
31205,24888
31205,31211
31205,31212
31205,24919
31217,28777
31217,29384
31217,31219
31217,31220
31217,27110
31221,26539
31221,31222
31221,26542
31221,31223
31221,31224
31221,31225
31228,27693
31228,31230
31228,26765
31228,10178
31228,26768
31228,31231
31228,27692
31228,25128
31228,27686
31228,27680
31232,24972
31232,10353
31232,31233
31232,31234
31232,31235
31232,31236
31232,31237
31232,24977
31232,31238
31232,6272
31232,26603
31232,31240
31232,31241
31232,31242
31232,30866
31243,30753
31243,31245
31243,27709
31246,31247
31246,30718
31249,31258
31249,31261
